Gene 1 ID	Gene 1 name	Gene 2 name	Gene 2 ID
ENSG00000145920	CPLX2	CPLX1	ENSG00000168993
ENSG00000166569	CPLX4	CPLX3	ENSG00000213578
ENSG00000143320	CRABP2	CRABP1	ENSG00000166426
ENSG00000005339	CREBBP	EP300	ENSG00000100393
ENSG00000096006	CRISP3	CRISP2	ENSG00000124490
ENSG00000099942	CRKL	CRK	ENSG00000167193
ENSG00000121671	CRY2	CRY1	ENSG00000008405
ENSG00000100053	CRYBB3	CRYBB2	ENSG00000244752
ENSG00000139631	CSAD	GADL1	ENSG00000144644
ENSG00000169826	CSGALNACT2	CSGALNACT1	ENSG00000147408
ENSG00000160213	CSTB	CSTA	ENSG00000121552
ENSG00000177613	CSTF2T	CSTF2	ENSG00000101811
ENSG00000168036	CTNNB1	JUP	ENSG00000173801
ENSG00000047230	CTPS2	CTPS1	ENSG00000171793
ENSG00000205279	CTXN3	CTXN2	ENSG00000233932
ENSG00000158290	CUL4B	CUL4A	ENSG00000139842
ENSG00000124875	CXCL6	CXCL5	ENSG00000163735
ENSG00000180871	CXCR2	CXCR1	ENSG00000163464
ENSG00000197021	CXorf40B	CXorf40A	ENSG00000197620
ENSG00000055163	CYFIP2	CYFIP1	ENSG00000273749
ENSG00000179142	CYP11B2	CYP11B1	ENSG00000160882
ENSG00000187553	CYP26C1	CYP26B1	ENSG00000003137
ENSG00000205702	CYP2D7	CYP2D6	ENSG00000100197
ENSG00000186160	CYP4Z1	CYP4X1	ENSG00000186377
ENSG00000146122	DAAM2	DAAM1	ENSG00000100592
ENSG00000187323	DCC	NEO1	ENSG00000067141
ENSG00000197312	DDI2	DDI1	ENSG00000170967
ENSG00000162733	DDR2	DDR1	ENSG00000204580
ENSG00000099974	DDTL	DDT	ENSG00000099977
ENSG00000100201	DDX17	DDX5	ENSG00000108654
ENSG00000165732	DDX21	DDX50	ENSG00000107625
ENSG00000198563	DDX39B	DDX39A	ENSG00000123136
ENSG00000067048	DDX3Y	DDX3X	ENSG00000215301
ENSG00000080007	DDX43	DDX53	ENSG00000184735
ENSG00000181381	DDX60L	DDX60	ENSG00000137628
ENSG00000225805	DEFB131B	DEFB131A	ENSG00000186146
ENSG00000168350	DEGS2	DEGS1	ENSG00000143753
ENSG00000170456	DENND5B	DENND5A	ENSG00000184014
ENSG00000205593	DENND6B	DENND6A	ENSG00000174839
ENSG00000099958	DERL3	DERL2	ENSG00000072849
ENSG00000102780	DGKH	DGKD	ENSG00000077044
ENSG00000149091	DGKZ	DGKI	ENSG00000157680
ENSG00000178700	DHFR2	DHFR	ENSG00000228716
ENSG00000187630	DHRS4L2	DHRS4	ENSG00000157326
ENSG00000165023	DIRAS2	DIRAS1	ENSG00000176490
ENSG00000006377	DLX6	DLX1	ENSG00000144355
ENSG00000185800	DMWD	WDR20	ENSG00000140153
ENSG00000104093	DMXL2	DMXL1	ENSG00000172869
ENSG00000187775	DNAH17	DNAH11	ENSG00000105877
ENSG00000118997	DNAH7	DNAH3	ENSG00000158486
ENSG00000147570	DNAJC5B	DNAJC5	ENSG00000101152
ENSG00000167968	DNASE1L2	DNASE1	ENSG00000213918
ENSG00000272636	DOC2B	DOC2A	ENSG00000149927
ENSG00000128512	DOCK4	DOCK3	ENSG00000088538
ENSG00000197635	DPP4	FAP	ENSG00000078098
ENSG00000142002	DPP9	DPP8	ENSG00000074603
ENSG00000177990	DPY19L2	DPY19L1	ENSG00000173852
ENSG00000169676	DRD5	DRD1	ENSG00000184845
ENSG00000177103	DSCAML1	DSCAM	ENSG00000171587
ENSG00000151914	DST	MACF1	ENSG00000127603
ENSG00000138101	DTNB	DTNA	ENSG00000134769
ENSG00000110042	DTX4	DTX1	ENSG00000135144
ENSG00000140279	DUOX2	DUOX1	ENSG00000137857
ENSG00000189037	DUSP21	DUSP18	ENSG00000167065
ENSG00000077380	DYNC1I2	DYNC1I1	ENSG00000158560
ENSG00000135720	DYNC1LI2	DYNC1LI1	ENSG00000144635
ENSG00000264364	DYNLL2	DYNLL1	ENSG00000088986
ENSG00000168589	DYNLRB2	DYNLRB1	ENSG00000125971
ENSG00000165169	DYNLT3	DYNLT1	ENSG00000146425
ENSG00000105204	DYRK1B	DYRK1A	ENSG00000157540
ENSG00000143479	DYRK3	DYRK2	ENSG00000127334
ENSG00000135636	DYSF	MYOF	ENSG00000138119
ENSG00000133740	E2F5	E2F4	ENSG00000205250
ENSG00000145088	EAF2	EAF1	ENSG00000144597
ENSG00000181552	EDDM3B	EDDM3A	ENSG00000181562
ENSG00000101210	EEF1A2	EEF1A1	ENSG00000156508
ENSG00000142634	EFHD2	EFHD1	ENSG00000115468
ENSG00000125266	EFNB2	EFNB1	ENSG00000090776
ENSG00000084710	EFR3B	EFR3A	ENSG00000132294
ENSG00000114784	EIF1B	EIF1	ENSG00000173812
ENSG00000180574	EIF2S3B	EIF2S3	ENSG00000130741
ENSG00000175766	EIF4E1B	EIF4E	ENSG00000151247
ENSG00000197561	ELANE	PRTN3	ENSG00000196415
ENSG00000062598	ELMO2	ELMO1	ENSG00000155849
ENSG00000066322	ELOVL1	ELOVL7	ENSG00000164181
ENSG00000012660	ELOVL5	ELOVL2	ENSG00000197977
ENSG00000214595	EML6	EML5	ENSG00000165521
ENSG00000170370	EMX2	EMX1	ENSG00000135638
ENSG00000171617	ENC1	KLHL25	ENSG00000183655
ENSG00000165675	ENOX2	ENOX1	ENSG00000120658
ENSG00000198018	ENTPD7	ENTPD4	ENSG00000197217
ENSG00000135999	EPC2	EPC1	ENSG00000120616
ENSG00000187672	ERC2	ERC1	ENSG00000082805
ENSG00000147475	ERLIN2	ERLIN1	ENSG00000107566
ENSG00000086619	ERO1B	ERO1A	ENSG00000197930
ENSG00000103067	ESRP2	ESRP1	ENSG00000104413
ENSG00000196482	ESRRG	ESRRA	ENSG00000173153
ENSG00000164089	ETNPPL	PHYKPL	ENSG00000175309
ENSG00000157557	ETS2	ETS1	ENSG00000134954
ENSG00000142459	EVI5L	EVI5	ENSG00000067208
ENSG00000144036	EXOC6B	EXOC6	ENSG00000138190
ENSG00000106462	EZH2	EZH1	ENSG00000108799
ENSG00000088926	F11	KLKB1	ENSG00000164344
ENSG00000144199	FAHD2B	FAHD2A	ENSG00000115042
ENSG00000162636	FAM102B	FAM102A	ENSG00000167106
ENSG00000184083	FAM120C	FAM120A	ENSG00000048828
ENSG00000155744	FAM126B	FAM126A	ENSG00000122591
ENSG00000234545	FAM133B	FAM133A	ENSG00000179083
ENSG00000158863	FAM160B2	FAM160B1	ENSG00000151553
ENSG00000152102	FAM168B	FAM168A	ENSG00000054965
ENSG00000237765	FAM200B	FAM200A	ENSG00000221909
ENSG00000213714	FAM209B	FAM209A	ENSG00000124103
ENSG00000283329	FAM240B	FAM240A	ENSG00000283473
ENSG00000213185	FAM24B	FAM24A	ENSG00000203795
ENSG00000189132	FAM47B	FAM47A	ENSG00000185448
ENSG00000153310	FAM49B	FAM49A	ENSG00000197872
ENSG00000145945	FAM50B	FAM50A	ENSG00000071859
ENSG00000077458	FAM76B	FAM76A	ENSG00000009780
ENSG00000188859	FAM78B	FAM78A	ENSG00000126882
ENSG00000229924	FAM90A26	FAM90A1	ENSG00000171847
ENSG00000187268	FAM9C	FAM9B	ENSG00000177138
ENSG00000064763	FAR2	FAR1	ENSG00000197601
ENSG00000006607	FARP2	FARP1	ENSG00000152767
ENSG00000165323	FAT3	FAT1	ENSG00000083857
ENSG00000188573	FBLL1	FBL	ENSG00000105202
ENSG00000130957	FBP2	FBP1	ENSG00000165140
ENSG00000108306	FBXL20	FBXL2	ENSG00000153558
ENSG00000269190	FBXO17	FBXO27	ENSG00000161243
ENSG00000147364	FBXO25	FBXO32	ENSG00000156804
ENSG00000198019	FCGR1B	FCGR1A	ENSG00000150337
ENSG00000162747	FCGR3B	FCGR3A	ENSG00000203747
ENSG00000160339	FCN2	FCN1	ENSG00000085265
ENSG00000145780	FEM1C	FEM1A	ENSG00000141965
ENSG00000182511	FES	FER	ENSG00000151422
ENSG00000153266	FEZF2	FEZF1	ENSG00000128610
ENSG00000185897	FFAR3	GPR42	ENSG00000126251
ENSG00000122642	FKBP9	FKBP10	ENSG00000141756
ENSG00000119686	FLVCR2	FLVCR1	ENSG00000162769
ENSG00000141560	FN3KRP	FN3K	ENSG00000167363
ENSG00000075420	FNDC3B	FNDC3A	ENSG00000102531
ENSG00000086205	FOLH1	NAALAD2	ENSG00000077616
ENSG00000189299	FOXR2	FOXR1	ENSG00000176302
ENSG00000181274	FRAT2	FRAT1	ENSG00000165879
ENSG00000171877	FRMD5	FRMD3	ENSG00000172159
ENSG00000075539	FRYL	FRY	ENSG00000073910
ENSG00000186765	FSCN2	FSCN1	ENSG00000075618
ENSG00000106701	FSD1L	FSD1	ENSG00000105255
ENSG00000168843	FSTL5	FSTL4	ENSG00000053108
ENSG00000001036	FUCA2	FUCA1	ENSG00000179163
ENSG00000140564	FURIN	PCSK4	ENSG00000115257
ENSG00000176920	FUT2	FUT1	ENSG00000174951
ENSG00000164930	FZD6	FZD3	ENSG00000104290
ENSG00000138757	G3BP2	G3BP1	ENSG00000145907
ENSG00000143458	GABPB2	GABPB1	ENSG00000104064
ENSG00000136750	GAD2	GAD1	ENSG00000128683
ENSG00000141429	GALNT1	GALNT13	ENSG00000144278
ENSG00000164574	GALNT10	GALNTL6	ENSG00000174473
ENSG00000139629	GALNT6	GALNT3	ENSG00000115339
ENSG00000128310	GALR3	GALR2	ENSG00000182687
ENSG00000105679	GAPDHS	GAPDH	ENSG00000111640
ENSG00000107485	GATA3	GATA2	ENSG00000179348
ENSG00000115271	GCA	SRI	ENSG00000075142
ENSG00000137878	GCOM1	MYZAP	ENSG00000263155
ENSG00000135414	GDF11	MSTN	ENSG00000138379
ENSG00000057608	GDI2	GDI1	ENSG00000203879
ENSG00000141098	GFOD2	GFOD1	ENSG00000145990
ENSG00000131459	GFPT2	GFPT1	ENSG00000198380
ENSG00000139436	GIT2	GIT1	ENSG00000108262
ENSG00000163521	GLB1L	GLB1	ENSG00000170266
ENSG00000166105	GLB1L3	GLB1L2	ENSG00000149328
ENSG00000135423	GLS2	GLS	ENSG00000115419
ENSG00000182890	GLUD2	GLUD1	ENSG00000148672
ENSG00000255151	GLYATL1B	GLYATL1	ENSG00000166840
ENSG00000130755	GMFG	GMFB	ENSG00000197045
ENSG00000100938	GMPR2	GMPR	ENSG00000137198
ENSG00000120063	GNA13	GNA12	ENSG00000146535
ENSG00000163281	GNPDA2	GNPDA1	ENSG00000113552
ENSG00000155265	GOLGA7B	GOLGA7	ENSG00000147533
ENSG00000143457	GOLPH3L	GOLPH3	ENSG00000113384
ENSG00000111711	GOLT1B	GOLT1A	ENSG00000174567
ENSG00000158669	GPAT4	GPAT3	ENSG00000138678
ENSG00000183098	GPC6	GPC4	ENSG00000076716
ENSG00000152642	GPD1L	GPD1	ENSG00000167588
ENSG00000188394	GPR21	GPR52	ENSG00000203737
ENSG00000121957	GPSM2	GPSM1	ENSG00000160360
ENSG00000166123	GPT2	GPT	ENSG00000167701
ENSG00000176153	GPX2	GPX1	ENSG00000233276
ENSG00000141449	GREB1L	GREB1	ENSG00000196208
ENSG00000180875	GREM2	GREM1	ENSG00000166923
ENSG00000083307	GRHL2	GRHL1	ENSG00000134317
ENSG00000152208	GRID2	GRID1	ENSG00000182771
ENSG00000105737	GRIK5	GRIK4	ENSG00000149403
ENSG00000273079	GRIN2B	GRIN2A	ENSG00000183454
ENSG00000144596	GRIP2	GRIP1	ENSG00000155974
ENSG00000100077	GRK3	GRK2	ENSG00000173020
ENSG00000152822	GRM1	GRM5	ENSG00000168959
ENSG00000198822	GRM3	GRM2	ENSG00000164082
ENSG00000082701	GSK3B	GSK3A	ENSG00000105723
ENSG00000148180	GSN	SCIN	ENSG00000006747
ENSG00000189369	GSPT2	GSPT1	ENSG00000103342
ENSG00000065621	GSTO2	GSTO1	ENSG00000148834
ENSG00000172986	GXYLT2	GXYLT1	ENSG00000151233
ENSG00000111713	GYS2	GYS1	ENSG00000104812
ENSG00000164032	H2AFZ	H2AFV	ENSG00000105968
ENSG00000206527	HACD2	HACD1	ENSG00000165996
ENSG00000164107	HAND2	HAND1	ENSG00000113196
ENSG00000112855	HARS2	HARS	ENSG00000170445
ENSG00000137252	HCRTR2	HCRTR1	ENSG00000121764
ENSG00000008869	HEATR5B	HEATR5A	ENSG00000129493
ENSG00000138411	HECW2	HECW1	ENSG00000002746
ENSG00000049860	HEXB	HEXA	ENSG00000213614
ENSG00000135547	HEY2	HEY1	ENSG00000164683
ENSG00000214511	HIGD1C	HIGD1A	ENSG00000181061
ENSG00000175202	HIGD2B	HIGD2A	ENSG00000146066
ENSG00000146151	HMGCLL1	HMGCL	ENSG00000117305
ENSG00000134240	HMGCS2	HMGCS1	ENSG00000112972
ENSG00000182952	HMGN4	HMGN2	ENSG00000198830
ENSG00000164749	HNF4G	HNF4A	ENSG00000101076
ENSG00000138668	HNRNPD	HNRNPAB	ENSG00000197451
ENSG00000143889	HNRNPLL	HNRNPL	ENSG00000104824
ENSG00000125944	HNRNPR	SYNCRIP	ENSG00000135316
ENSG00000168172	HOOK3	HOOK1	ENSG00000134709
ENSG00000106004	HOXA5	HOXB5	ENSG00000120075
ENSG00000106006	HOXA6	HOXB6	ENSG00000108511
ENSG00000122592	HOXA7	HOXB7	ENSG00000260027
ENSG00000261701	HPR	HP	ENSG00000257017
ENSG00000165704	HPRT1	PRTFDC1	ENSG00000099256
ENSG00000133328	HRASLS2	PLA2G16	ENSG00000176485
ENSG00000185352	HS6ST3	HS6ST1	ENSG00000136720
ENSG00000170509	HSD17B13	HSD17B11	ENSG00000198189
ENSG00000203859	HSD3B2	HSD3B1	ENSG00000203857
ENSG00000096384	HSP90AB1	HSP90AA1	ENSG00000080824
ENSG00000132622	HSPA12B	HSPA12A	ENSG00000165868
ENSG00000205649	HTN3	HTN1	ENSG00000126550
ENSG00000179546	HTR1D	HTR1B	ENSG00000135312
ENSG00000179097	HTR1F	HTR1E	ENSG00000168830
ENSG00000112144	ICK	MAK	ENSG00000111837
ENSG00000182054	IDH2	IDH1	ENSG00000138413
ENSG00000148377	IDI2	IDI1	ENSG00000067064
ENSG00000169991	IFFO2	IFFO1	ENSG00000010295
ENSG00000119917	IFIT3	IFIT2	ENSG00000119922
ENSG00000188624	IGFL3	IGFL2	ENSG00000204866
ENSG00000189108	IL1RAPL2	IL1RAPL1	ENSG00000169306
ENSG00000136688	IL36G	IL36A	ENSG00000136694
ENSG00000178035	IMPDH2	IMPDH1	ENSG00000106348
ENSG00000125629	INSIG2	INSIG1	ENSG00000186480
ENSG00000165359	INTS6L	INTS6	ENSG00000102786
ENSG00000065150	IPO5	RANBP6	ENSG00000137040
ENSG00000133704	IPO8	IPO7	ENSG00000205339
ENSG00000159556	ISL2	ISL1	ENSG00000016082
ENSG00000082781	ITGB5	ITGB3	ENSG00000259207
ENSG00000162267	ITIH3	ITIH1	ENSG00000055957
ENSG00000158764	ITLN2	ITLN1	ENSG00000179914
ENSG00000198399	ITSN2	ITSN1	ENSG00000205726
ENSG00000184916	JAG2	JAG1	ENSG00000101384
ENSG00000183340	JRKL	TIGD2	ENSG00000180346
ENSG00000114166	KAT2B	KAT2A	ENSG00000108773
ENSG00000156650	KAT6B	KAT6A	ENSG00000083168
